clean_omf_name,clean_yelp_name,clean_omf_addresses,clean_yelp_address,omf_category,categories_yelp,omf_confidence,omf_websites,omf_socials,omf_phones
dunkin donuts,dunkin,14254 bustleton avephiladelphiapa191161108,11725 bustleton avephiladelphiapa19116,donuts,"Coffee & Tea, Donuts, Food, Restaurants",0.9962614185921548,http://www.youtube.com/DunkinDonuts,https://www.facebook.com/259846270700941,12676214823.0
dunkin donuts,dunkin,14254 bustleton avephiladelphiapa191161108,9834 bustleton avephiladelphiapa19115,donuts,"Donuts, Coffee & Tea, Restaurants, Food",0.9962614185921548,http://www.youtube.com/DunkinDonuts,https://www.facebook.com/259846270700941,12676214823.0
qdoba,qdoba mexican eats,6196 whitestown pkwywhitestownin460757615,6196 whitestown pkwywhitestownin46075,mexican_restaurant,"Mexican, Restaurants, Fast Food",0.9962614185921548,https://locations.qdoba.com/us/in/whitestown/6196-whitestown-pkwy,https://www.facebook.com/465781060581986,13177692167.0
downtown nashville nissan,downtown nashville nissan,25 vantage waynashvilletn372281503,25 vantage waynashvilletn37228,automotive_dealer,"Car Dealers, Auto Parts & Supplies, Auto Repair, Automotive",0.9962614185921548,www.downtownnashvillenissan.com,https://www.facebook.com/278571605890130,16152485100.0
california electric supply,california electric supply,233 s milpas stsanta barbaraca931033607,233 s milpas stsanta barbaraca93103,electrician,"Lighting Fixtures & Equipment, Electronics, Electricians, Wholesale Stores, Home Services, Shopping",0.9962614185921548,http://www.cessb.com/,https://www.facebook.com/118484558183407,18059629114.0
walmart,walmart pharmacy,5260 w 7th strenonv89523,5260 w 7th strenonv89523,restaurant,"Pharmacy, Health & Medical",0.77,https://www.walmart.com/store/3254-reno-nv/bakery/,,7756242074.0
walmart,walmart auto care centers,5260 w 7th strenonv89523,5260 w 7th strenonv89523,restaurant,"Tires, Auto Repair, Auto Parts & Supplies, Automotive",0.77,https://www.walmart.com/store/3254-reno-nv/bakery/,,7756242074.0
walmart,walmart supercenter,5260 w 7th strenonv89523,5260 w 7th strenonv89523,restaurant,"Mobile Phones, Grocery, Department Stores, Electronics, Drugstores, Fashion, Shopping, Food, Discount Store",0.77,https://www.walmart.com/store/3254-reno-nv/bakery/,,7756242074.0
holiday inn express new orleans dwtn  fr qtr area,holiday inn express new  orleans downtown,334 okeefe avenew orleansla701121809,334 okeefe avenew orleansla70112,hotel,"Event Planning & Services, Hotels & Travel, Venues & Event Spaces, Hotels",0.9962614185921548,https://www.ihg.com/holidayinnexpress/hotels/us/en/new-orleans/msyka/hoteldetail?cm_mmc=FacebookMaps-_-EX-_-US-_-MSYKA,https://www.facebook.com/893142730719197,15045245400.0
ritas italian ice  frozen custard,ritas italian ice,499 domino lnphiladelphiapa19128,499 domino lnphiladelphiapa19128,desserts,"Ice Cream & Frozen Yogurt, Food, Shaved Ice, Desserts",0.77,http://www.ritasice.com/location/ritas-of-domino-lane-phila-pa/,,2154834000.0
five star premier residences of reno,five star premier residences of reno,3201 plumas strenonv895094723,3201 plumas streetrenonv89509,retirement_home,"Health & Medical, Apartments, Home Services, Real Estate, Rehabilitation Center, Home Health Care, Retirement Homes",0.9962614185921548,https://www.fivestarseniorliving.com/communities/nv/reno/five-star-premier-residences-of-reno/?local=facebook,https://www.facebook.com/211667562292303,17758291050.0
penske truck rental,penske truck rental,4450 s enterprise stboiseid83705,4450 enterprise stboiseid83705,rental_services,"Automotive, Truck Rental",0.77,https://www.pensketruckrental.com/locations/us/idaho/boise/066110/?utm_source=bing&utm_medium=referral&utm_campaign=rio-bingplaces,,2083367220.0
angelos cleaning,angelos cleaning,312 bridge stphoenixvillepa19460,312 bridge stphoenixvillepa19460,air_duct_cleaning_service,"Damage Restoration, Shopping, Home Cleaning, Home & Garden, Local Services, Air Duct Cleaning, Grout Services, Home Services, Carpet Cleaning",0.77,https://angeloscleaning.com/,,6109357557.0
harrahs casino new orleans hours address,harrahs,228 poydras stnew orleansla701301641,228 poydras stnew orleansla70130,casino,"Arts & Entertainment, Casinos",0.481038961038961,http://www.harrahsneworleans.com/casinos/harrahs-new-orleans/casino-misc/hotel-overview.html,https://www.facebook.com/1463150693991708,18004277247.0
harrahs casino new orleans hours address,harrahs new orleans,228 poydras stnew orleansla701301641,228 poydras stnew orleansla70130,casino,"Hotels, Arts & Entertainment, Hotels & Travel, Event Planning & Services, Casinos",0.481038961038961,http://www.harrahsneworleans.com/casinos/harrahs-new-orleans/casino-misc/hotel-overview.html,https://www.facebook.com/1463150693991708,18004277247.0
subway,subway,3686 bell rdnashvilletn372142632,3686 bell rdnashvilletn37214,sandwich_shop,"Restaurants, Pizza, Sandwiches, Fast Food",0.9962614185921548,http://www.subway.com/en-us,https://www.facebook.com/136584539754259,16158734517.0
ks world market,k  s world market,4225 nolensville pikenashvilletn372114716,4225 nolensville pikenashvilletn37211,grocery_store,"Specialty Food, International Grocery, Grocery, Imported Food, Ethnic Food, Food, Seafood Markets",0.9837452982267598,http://www.worldmarket.com,https://www.facebook.com/104814455610797,16158328881.0
starbucks,starbucks,4202 e fowler avetampafl336200007,4202 e fowler avetampafl33620,coffee_shop,"Food, Coffee & Tea",0.9962614185921548,https://www.starbucks.com/store-locator/store/14382,https://www.facebook.com/156180461058863,18133623222.0
starbucks,starbucks,4202 e fowler avetampafl336200007,1501 e fowler avetampafl33612,coffee_shop,"Restaurants, Food, Breakfast & Brunch, Coffee & Tea",0.9962614185921548,https://www.starbucks.com/store-locator/store/14382,https://www.facebook.com/156180461058863,18133623222.0
jasons deli,jasons deli,4026 e 82nd stindianapolisin46250,4026 e 82nd stindianapolisin46250,sandwich_shop,"Delis, Caterers, Restaurants, Sandwiches, Salad, Event Planning & Services",0.77,https://www.jasonsdeli.com/restaurants/keystone-deli,,2078747483.0
dixon center for integrative healthcare,dixon center for integrative health care,211 old hickory blvdnashvilletn372211301,211 old hickory blvdnashvilletn37221,chiropractor,"Health & Medical, Acupuncture, Weight Loss Centers, Massage, Beauty & Spas, Chiropractors, Urgent Care",0.9962614185921548,http://www.dixoncenter.com,https://www.facebook.com/155262735920,16156461003.0
the ups store 6285,the ups store,1389 w 86th stindianapolisin462602101,1389 w 86th stindianapolisin46260,freight_and_cargo_service,"Notaries, Shipping Centers, Local Services, Printing Services, Mailbox Centers",0.9837452982267598,https://locations.theupsstore.com/in/indianapolis/1389-w-86th-st?utm_source=Yext&utm_medium=organic&utm_campaign=Listings,https://www.facebook.com/348189538651531,13172575660.0
